2017-12-12 18:48:56,655 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:56,727 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:56,794 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:56,859 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:56,929 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:56,995 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,058 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,125 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,190 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,256 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,322 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,385 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,449 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,515 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,581 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,645 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,712 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,776 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,838 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,909 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:57,973 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,037 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,102 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,162 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,230 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,292 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,354 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,423 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,488 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,552 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,620 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,684 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,748 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,812 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,877 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:58,946 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,011 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,075 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,143 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,210 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,273 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,335 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,399 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,466 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,532 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,597 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,661 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,728 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
